"zipcode","cab_type","count"
"00083","green",52358
"00083","uber",22197
"10001","green",156
"10001","uber",200897
"10002","green",181
"10002","uber",106145
"10003","green",115
"10003","uber",207006
"10004","green",22
"10004","uber",24738
"10005","green",9
"10005","uber",30481
"10006","green",4
"10006","uber",14106
"10007","green",45
"10007","uber",46014
"10009","green",81
"10009","uber",91615
"10010","green",51
"10010","uber",118432
"10011","green",107
"10011","uber",233360
"10012","green",82
"10012","uber",182264
"10013","green",96
"10013","uber",201214
"10014","green",74
"10014","uber",205123
"10016","green",115
"10016","uber",157495
"10017","green",101
"10017","uber",144024
"10018","green",56
"10018","uber",115785
"10019","green",159
"10019","uber",228074
"10020","green",8
"10020","uber",12777
"10021","green",101
"10021","uber",85811
"10022","green",144
"10022","uber",209887
"10023","green",160
"10023","uber",91115
"10024","green",1374
"10024","uber",68711
"10025","green",155904
"10025","uber",42999
"10026","green",204757
"10026","uber",9380
"10027","green",475381
"10027","uber",17904
"10028","green",142
"10028","uber",67769
"10029","green",414190
"10029","uber",15127
"10030","green",108450
"10030","uber",3947
"10031","green",169155
"10031","uber",7191
"10032","green",166448
"10032","uber",7242
"10033","green",93449
"10033","uber",5442
"10034","green",53637
"10034","uber",2372
"10035","green",316106
"10035","uber",10681
"10036","green",136
"10036","uber",164117
"10037","green",54230
"10037","uber",2713
"10038","green",38
"10038","uber",42527
"10039","green",42712
"10039","uber",1978
"10040","green",45361
"10040","uber",2867
"10041","uber",518
"10043","uber",304
"10044","green",2652
"10044","uber",1134
"10045","uber",377
"10047","uber",60
"10048","uber",1664
"10055","uber",557
"10065","green",104
"10065","uber",87405
"10069","green",10
"10069","uber",15158
"10075","green",67
"10075","uber",38399
"10080","uber",82
"10081","green",1
"10081","uber",544
"10096","uber",297
"10097","green",1
"10097","uber",788
"10103","uber",661
"10104","green",1
"10104","uber",1228
"10105","uber",794
"10106","uber",491
"10107","uber",132
"10110","uber",277
"10111","uber",2823
"10112","uber",262
"10115","green",279
"10115","uber",76
"10118","green",2
"10118","uber",1080
"10119","uber",1191
"10120","uber",197
"10121","green",6
"10121","uber",3807
"10122","uber",106
"10123","green",1
"10123","uber",134
"10128","green",30504
"10128","uber",50547
"10151","uber",277
"10152","uber",1494
"10153","green",3
"10153","uber",1498
"10154","uber",1683
"10155","uber",194
"10158","uber",163
"10162","uber",60
"10165","uber",437
"10166","green",1
"10166","uber",885
"10167","uber",1415
"10168","uber",301
"10169","uber",643
"10170","uber",507
"10171","uber",445
"10172","green",2
"10172","uber",1620
"10173","uber",248
"10174","green",2
"10174","uber",780
"10175","uber",140
"10176","uber",314
"10177","uber",583
"10178","green",1
"10178","uber",396
"10196","uber",1135
"10203","uber",250
"10259","uber",259
"10260","uber",1112
"10265","uber",548
"10270","uber",126
"10271","uber",329
"10275","uber",123
"10278","uber",1536
"10279","uber",145
"10280","green",11
"10280","uber",14757
"10281","green",1
"10281","uber",6267
"10282","green",3
"10282","uber",21758
"10285","uber",751
"10286","uber",458
"10301","green",432
"10301","uber",215
"10302","green",69
"10302","uber",12
"10303","green",294
"10303","uber",30
"10304","green",44
"10304","uber",165
"10305","green",49
"10305","uber",280
"10306","green",10
"10306","uber",35
"10307","green",1
"10308","green",4
"10308","uber",9
"10309","green",7
"10309","uber",6
"10310","green",39
"10310","uber",46
"10312","green",10
"10312","uber",15
"10314","green",147
"10314","uber",221
"10451","green",96763
"10451","uber",3520
"10452","green",66938
"10452","uber",3979
"10453","green",37631
"10453","uber",569
"10454","green",22732
"10454","uber",1109
"10455","green",32235
"10455","uber",546
"10456","green",38602
"10456","uber",852
"10457","green",35741
"10457","uber",773
"10458","green",47319
"10458","uber",2699
"10459","green",20722
"10459","uber",449
"10460","green",24819
"10460","uber",867
"10461","green",29877
"10461","uber",1736
"10462","green",40514
"10462","uber",1281
"10463","green",35623
"10463","uber",3665
"10464","green",580
"10464","uber",306
"10465","green",3453
"10465","uber",646
"10466","green",2433
"10466","uber",439
"10467","green",32016
"10467","uber",1371
"10468","green",49805
"10468","uber",930
"10469","green",5054
"10469","uber",710
"10470","green",709
"10470","uber",280
"10471","green",2396
"10471","uber",3327
"10472","green",19810
"10472","uber",485
"10473","green",7833
"10473","uber",605
"10474","green",2437
"10474","uber",354
"10475","green",2599
"10475","uber",410
"11001","green",45
"11001","uber",72
"11004","green",94
"11004","uber",147
"11005","green",72
"11005","uber",187
"11040","green",15
"11040","uber",45
"11101","green",234528
"11101","uber",32344
"11102","green",117217
"11102","uber",6564
"11103","green",214048
"11103","uber",8647
"11104","green",57900
"11104","uber",4013
"11105","green",93192
"11105","uber",7159
"11106","green",148519
"11106","uber",8418
"11109","green",3056
"11109","uber",902
"11201","green",523176
"11201","uber",80049
"11203","green",5907
"11203","uber",3423
"11204","green",735
"11204","uber",1021
"11205","green",121868
"11205","uber",24777
"11206","green",94228
"11206","uber",32903
"11207","green",7558
"11207","uber",3770
"11208","green",3894
"11208","uber",1275
"11209","green",3830
"11209","uber",5666
"11210","green",8866
"11210","uber",2951
"11211","green",690420
"11211","uber",121439
"11212","green",5581
"11212","uber",2129
"11213","green",21256
"11213","uber",6932
"11214","green",1289
"11214","uber",1710
"11215","green",172516
"11215","uber",43493
"11216","green",99665
"11216","uber",19058
"11217","green",246171
"11217","uber",36731
"11218","green",11793
"11218","uber",7070
"11219","green",1976
"11219","uber",1679
"11220","green",4332
"11220","uber",3330
"11221","green",43119
"11221","uber",18732
"11222","green",189453
"11222","uber",42134
"11223","green",1511
"11223","uber",2734
"11224","green",11038
"11224","uber",1481
"11225","green",30469
"11225","uber",8881
"11226","green",23086
"11226","uber",7423
"11228","green",522
"11228","uber",1949
"11229","green",1748
"11229","uber",1845
"11230","green",4605
"11230","uber",3771
"11231","green",100688
"11231","uber",30911
"11232","green",13888
"11232","uber",5958
"11233","green",26480
"11233","uber",6811
"11234","green",2412
"11234","uber",2797
"11235","green",30576
"11235","uber",2276
"11236","green",2410
"11236","uber",1950
"11237","green",27950
"11237","uber",16429
"11238","green",140912
"11238","uber",35526
"11239","green",653
"11239","uber",410
"11251","green",4204
"11251","uber",2020
"11354","green",97206
"11354","uber",2881
"11355","green",7860
"11355","uber",1750
"11356","green",1052
"11356","uber",737
"11357","green",402
