"zipcode","cab_type","pickup_hour","count"
"00083","green",0,601
"00083","green",1,251
"00083","green",2,130
"00083","green",3,80
"00083","green",4,75
"00083","green",5,190
"00083","green",6,389
"00083","green",7,1315
"00083","green",8,2023
"00083","green",9,2963
"00083","green",10,3097
"00083","green",11,2900
"00083","green",12,2960
"00083","green",13,2731
"00083","green",14,3093
"00083","green",15,3511
"00083","green",16,4429
"00083","green",17,4434
"00083","green",18,4573
"00083","green",19,4516
"00083","green",20,3173
"00083","green",21,2278
"00083","green",22,1468
"00083","green",23,1178
"00083","uber",0,204
"00083","uber",1,107
"00083","uber",2,57
"00083","uber",3,95
"00083","uber",4,143
"00083","uber",5,270
"00083","uber",6,736
"00083","uber",7,1044
"00083","uber",8,1149
"00083","uber",9,936
"00083","uber",10,861
"00083","uber",11,1002
"00083","uber",12,1081
"00083","uber",13,1213
"00083","uber",14,1446
"00083","uber",15,1906
"00083","uber",16,2014
"00083","uber",17,1676
"00083","uber",18,1570
"00083","uber",19,1243
"00083","uber",20,1100
"00083","uber",21,1090
"00083","uber",22,797
"00083","uber",23,457
"10001","green",0,6
"10001","green",1,6
"10001","green",2,1
"10001","green",3,2
"10001","green",4,2
"10001","green",5,3
"10001","green",6,3
"10001","green",7,3
"10001","green",8,6
"10001","green",9,17
"10001","green",10,11
"10001","green",11,10
"10001","green",12,5
"10001","green",13,9
"10001","green",14,6
"10001","green",15,3
"10001","green",16,8
"10001","green",17,8
"10001","green",18,7
"10001","green",19,5
"10001","green",20,12
"10001","green",21,6
"10001","green",22,8
"10001","green",23,9
"10001","uber",0,4346
"10001","uber",1,2759
"10001","uber",2,1649
"10001","uber",3,1708
"10001","uber",4,1567
"10001","uber",5,1959
"10001","uber",6,3409
"10001","uber",7,6230
"10001","uber",8,7484
"10001","uber",9,6768
"10001","uber",10,7201
"10001","uber",11,7885
"10001","uber",12,8038
"10001","uber",13,9021
"10001","uber",14,10823
"10001","uber",15,13785
"10001","uber",16,17162
"10001","uber",17,18732
"10001","uber",18,16878
"10001","uber",19,12855
"10001","uber",20,11852
"10001","uber",21,11773
"10001","uber",22,10501
"10001","uber",23,6512
"10002","green",0,16
"10002","green",1,8
"10002","green",2,10
"10002","green",3,4
"10002","green",4,4
"10002","green",5,5
"10002","green",6,3
"10002","green",7,2
"10002","green",9,3
"10002","green",10,9
"10002","green",11,5
"10002","green",12,7
"10002","green",13,5
"10002","green",14,2
"10002","green",15,9
"10002","green",16,5
"10002","green",17,8
"10002","green",18,10
"10002","green",19,10
"10002","green",20,9
"10002","green",21,11
"10002","green",22,14
"10002","green",23,22
"10002","uber",0,5217
"10002","uber",1,4693
"10002","uber",2,3111
"10002","uber",3,1838
"10002","uber",4,1324
"10002","uber",5,2174
"10002","uber",6,3101
"10002","uber",7,4476
"10002","uber",8,4878
"10002","uber",9,3777
"10002","uber",10,3412
"10002","uber",11,3365
"10002","uber",12,3575
"10002","uber",13,3817
"10002","uber",14,4066
"10002","uber",15,4643
"10002","uber",16,4763
"10002","uber",17,5443
"10002","uber",18,5855
"10002","uber",19,5967
"10002","uber",20,6689
"10002","uber",21,7132
"10002","uber",22,6786
"10002","uber",23,6043
"10003","green",0,5
"10003","green",1,8
"10003","green",2,3
"10003","green",4,1
"10003","green",7,2
"10003","green",8,2
"10003","green",9,3
"10003","green",10,3
"10003","green",11,4
"10003","green",12,10
"10003","green",13,6
"10003","green",14,5
"10003","green",15,3
"10003","green",16,8
"10003","green",17,6
"10003","green",18,4
"10003","green",19,6
"10003","green",20,11
"10003","green",21,10
"10003","green",22,7
"10003","green",23,8
"10003","uber",0,6249
"10003","uber",1,3795
"10003","uber",2,2513
"10003","uber",3,2369
"10003","uber",4,2332
"10003","uber",5,3346
"10003","uber",6,6487
"10003","uber",7,9743
"10003","uber",8,9537
"10003","uber",9,6289
"10003","uber",10,5885
"10003","uber",11,6377
"10003","uber",12,6919
"10003","uber",13,7992
"10003","uber",14,9946
"10003","uber",15,11615
"10003","uber",16,12035
"10003","uber",17,13456
"10003","uber",18,13480
"10003","uber",19,13101
"10003","uber",20,13441
"10003","uber",21,14838
"10003","uber",22,14603
"10003","uber",23,10658
"10004","green",4,2
"10004","green",6,1
"10004","green",9,2
"10004","green",10,4
"10004","green",11,1
"10004","green",13,1
"10004","green",14,1
"10004","green",16,1
"10004","green",17,2
"10004","green",18,1
"10004","green",19,2
"10004","green",20,1
"10004","green",22,2
"10004","green",23,1
"10004","uber",0,429
"10004","uber",1,280
"10004","uber",2,161
"10004","uber",3,151
"10004","uber",4,168
"10004","uber",5,246
"10004","uber",6,235
"10004","uber",7,375
"10004","uber",8,370
"10004","uber",9,572
"10004","uber",10,760
"10004","uber",11,854
"10004","uber",12,1000
"10004","uber",13,1236
"10004","uber",14,1871
"10004","uber",15,2310
"10004","uber",16,2412
"10004","uber",17,2306
"10004","uber",18,1925
"10004","uber",19,1809
"10004","uber",20,1695
"10004","uber",21,1460
"10004","uber",22,1246
"10004","uber",23,867
"10005","green",2,1
"10005","green",4,1
"10005","green",7,1
"10005","green",8,1
"10005","green",9,1
"10005","green",17,1
"10005","green",23,3
"10005","uber",0,534
"10005","uber",1,270
"10005","uber",2,181
"10005","uber",3,285
"10005","uber",4,441
"10005","uber",5,493
"10005","uber",6,635
"10005","uber",7,825
"10005","uber",8,880
"10005","uber",9,787
"10005","uber",10,934
"10005","uber",11,1086
"10005","uber",12,1138
"10005","uber",13,1289
"10005","uber",14,1682
"10005","uber",15,2182
"10005","uber",16,2614
"10005","uber",17,2700
"10005","uber",18,2641
"10005","uber",19,2573
"10005","uber",20,2194
"10005","uber",21,1767
"10005","uber",22,1373
"10005","uber",23,977
"10006","green",1,1
"10006","green",10,1
"10006","green",19,1
"10006","green",21,1
"10006","uber",0,275
"10006","uber",1,174
"10006","uber",2,121
"10006","uber",3,128
"10006","uber",4,213
"10006","uber",5,333
"10006","uber",6,287
"10006","uber",7,352
"10006","uber",8,325
"10006","uber",9,349
"10006","uber",10,463
"10006","uber",11,502
"10006","uber",12,547
"10006","uber",13,681
"10006","uber",14,760
"10006","uber",15,966
"10006","uber",16,1051
"10006","uber",17,1137
"10006","uber",18,1195
"10006","uber",19,1279
"10006","uber",20,983
"10006","uber",21,794
"10006","uber",22,723
"10006","uber",23,468
