"zipcode","cab_type","pickup_week","count"
"00083","green","14",1603
"00083","uber","14",645
"00083","green","15",1900
"00083","uber","15",698
"00083","green","16",1981
"00083","uber","16",657
"00083","green","17",2100
"00083","uber","17",742
"00083","green","18",1908
"00083","uber","18",897
"00083","green","19",2099
"00083","uber","19",1064
"00083","green","20",1997
"00083","uber","20",1062
"00083","green","21",1928
"00083","uber","21",938
"00083","green","22",1883
"00083","uber","22",878
"00083","green","23",2180
"00083","uber","23",1016
"00083","green","24",2113
"00083","uber","24",1017
"00083","green","25",2126
"00083","uber","25",895
"00083","green","26",2245
"00083","uber","26",858
"00083","green","27",1630
"00083","uber","27",572
"00083","green","28",1898
"00083","uber","28",769
"00083","green","29",2007
"00083","uber","29",793
"00083","green","30",1988
"00083","uber","30",777
"00083","green","31",1920
"00083","uber","31",822
"00083","green","32",2045
"00083","uber","32",769
"00083","green","33",2082
"00083","uber","33",751
"00083","green","34",1934
"00083","uber","34",659
"00083","green","35",1784
"00083","uber","35",582
"00083","green","36",1807
"00083","uber","36",867
"00083","green","37",2113
"00083","uber","37",1117
"00083","green","38",2145
"00083","uber","38",1036
"00083","green","39",2134
"00083","uber","39",1086
"00083","green","40",808
"00083","uber","40",230
"10001","green","14",6
"10001","uber","14",4739
"10001","green","15",7
"10001","uber","15",5347
"10001","green","16",3
"10001","uber","16",5359
"10001","green","17",7
"10001","uber","17",5997
"10001","green","18",7
"10001","uber","18",7352
"10001","green","19",5
"10001","uber","19",6808
"10001","green","20",9
"10001","uber","20",7186
"10001","green","21",7
"10001","uber","21",6382
"10001","green","22",6
"10001","uber","22",6115
"10001","green","23",5
"10001","uber","23",6841
"10001","green","24",4
"10001","uber","24",7782
"10001","green","25",9
"10001","uber","25",6973
"10001","green","26",8
"10001","uber","26",7036
"10001","green","27",6
"10001","uber","27",5410
"10001","green","28",10
"10001","uber","28",8048
"10001","green","29",7
"10001","uber","29",8863
"10001","green","30",12
"10001","uber","30",8807
"10001","green","31",13
"10001","uber","31",8516
"10001","green","32",9
"10001","uber","32",8431
"10001","green","33",5
"10001","uber","33",8097
"10001","green","34",4
"10001","uber","34",7750
"10001","green","35",4
"10001","uber","35",6999
"10001","green","36",2
"10001","uber","36",10285
"10001","uber","37",11439
"10001","green","38",1
"10001","uber","38",11470
"10001","uber","39",10158
"10001","uber","40",2707
"10002","green","14",10
"10002","uber","14",2911
"10002","green","15",5
"10002","uber","15",2706
"10002","green","16",6
"10002","uber","16",2766
"10002","green","17",7
"10002","uber","17",3399
"10002","green","18",6
"10002","uber","18",3399
"10002","green","19",10
"10002","uber","19",3429
