"zipcode","cab_type","part_of_week","count"
"00083","green","Weekday",41353
"00083","green","Weekend",11005
"00083","uber","Weekday",15546
"00083","uber","Weekend",6651
"10001","green","Weekday",89
"10001","green","Weekend",67
"10001","uber","Weekday",143098
"10001","uber","Weekend",57799
"10002","green","Weekday",79
"10002","green","Weekend",102
"10002","uber","Weekday",62021
"10002","uber","Weekend",44124
"10003","green","Weekday",56
"10003","green","Weekend",59
"10003","uber","Weekday",136375
"10003","uber","Weekend",70631
"10004","green","Weekday",15
"10004","green","Weekend",7
"10004","uber","Weekday",18392
"10004","uber","Weekend",6346
"10005","green","Weekday",7
"10005","green","Weekend",2
"10005","uber","Weekday",21424
"10005","uber","Weekend",9057
"10006","green","Weekday",3
"10006","green","Weekend",1
"10006","uber","Weekday",10086
"10006","uber","Weekend",4020
"10007","green","Weekday",34
"10007","green","Weekend",11
"10007","uber","Weekday",32866
"10007","uber","Weekend",13148
"10009","green","Weekday",37
"10009","green","Weekend",44
"10009","uber","Weekday",58795
"10009","uber","Weekend",32820
"10010","green","Weekday",26
"10010","green","Weekend",25
"10010","uber","Weekday",87423
"10010","uber","Weekend",31009
"10011","green","Weekday",57
"10011","green","Weekend",50
"10011","uber","Weekday",160055
"10011","uber","Weekend",73305
"10012","green","Weekday",47
"10012","green","Weekend",35
"10012","uber","Weekday",123223
"10012","uber","Weekend",59041
"10013","green","Weekday",61
"10013","green","Weekend",35
"10013","uber","Weekday",142555
"10013","uber","Weekend",58659
"10014","green","Weekday",31
"10014","green","Weekend",43
"10014","uber","Weekday",130699
"10014","uber","Weekend",74424
"10016","green","Weekday",73
"10016","green","Weekend",42
"10016","uber","Weekday",112607
"10016","uber","Weekend",44888
"10017","green","Weekday",72
"10017","green","Weekend",29
"10017","uber","Weekday",118271
"10017","uber","Weekend",25753
"10018","green","Weekday",38
"10018","green","Weekend",18
"10018","uber","Weekday",91460
"10018","uber","Weekend",24325
"10019","green","Weekday",94
"10019","green","Weekend",65
"10019","uber","Weekday",168181
"10019","uber","Weekend",59893
"10020","green","Weekday",4
"10020","green","Weekend",4
"10020","uber","Weekday",10700
"10020","uber","Weekend",2077
"10021","green","Weekday",65
"10021","green","Weekend",36
"10021","uber","Weekday",63787
"10021","uber","Weekend",22024
"10022","green","Weekday",94
"10022","green","Weekend",50
"10022","uber","Weekday",167168
"10022","uber","Weekend",42719
"10023","green","Weekday",95
"10023","green","Weekend",65
"10023","uber","Weekday",64378
"10023","uber","Weekend",26737
"10024","green","Weekday",912
"10024","green","Weekend",462
"10024","uber","Weekday",50627
"10024","uber","Weekend",18084
"10025","green","Weekday",108311
"10025","green","Weekend",47593
"10025","uber","Weekday",29841
"10025","uber","Weekend",13158
"10026","green","Weekday",130107
"10026","green","Weekend",74650
"10026","uber","Weekday",5673
